comment;score negative;score neutral;score positive;score compound
YOU LISTEN HERE BOY. YOU ARE ONE OF THE MOST BEAUTIFUL PEOPLE IN THIS WORLD. YOUR MUSIC GIVES ME HOPE. IT DOESN'T MATTER WHAT OTHER I MEAN THOSE TOXIC PEOPLE SAY. YOU DESERVE GREAT THINGS IN LIFE. YOU MADE ME WANNA LIVE MY LIFE SEEING YOU THIS SAD AND HURT BREAKS MY HEART I LEGIT CRIED AFTER HEARING YOU LATEST SONGS . I COULD RELATE TO THEM AND FEEL THE PAIN YOU FELT MAYBE NOT EXACTLY WHAT YOU FELT MAYBE LESSER THAN WHAT YOU FELT BUT I COULD FEEL YOUR EMOTIONS. ;0.108;0.782;0.11;0.2961
What's good about these singles is that it is raw and he takes ownership of what he had done, but he wants to move on because he had learned things and its not the entire story of his life. Kudos to Joshua! Already on repeat!;0.0;0.86;0.14;0.7896
I’m still so in love with these songs. My poor bb;0.187;0.543;0.27;0.3353
Soothing. Great Work!!;0.0;0.125;0.875;0.7896
Love the song;0.0;0.323;0.677;0.6369
This is prob my fav song from him;0.0;0.7;0.3;0.4588
No joke, I was watching an episode of Power Rangers Zeo when this music video showed up as an ad. Now, I can't stop listening to this song. I can't believe I didn't know about this artist, he's amazing!;0.043;0.821;0.136;0.6239
this made me cry, such a good song!  Really cool music video too!;0.162;0.521;0.317;0.4547
"Something about the shot of him in the pink suit and white flowy backy drop and guitar when he sings ""my label said to never waste a crisis but here I am with a guitar in my hand"" felt super familiar and it seems similar to the structured pink backdrop with a guitar in a suit in the middle of nowhere in lie, lie, lie. It almost felt like a call of saying lie lie lie was a label move to try and get a song into the narrative of the love triangle. When he released lie lie lie the other two had released drivers license and skin.";0.012;0.81;0.177;0.9703
it is like the other songs touched a part of my heart and gave me indescribable feelings;0.0;0.691;0.309;0.7717
Josh never fails;0.0;0.462;0.538;0.3252
"Dear Joshua, 
I hope this comment finds you and maybe makes your day.
I just wanted you to know that your truly a gift to this world.
As a fan I wanted you to know that I appreciate you as a singer actor and a human being.";0.0;0.716;0.284;0.936
I love this song. It feels so real and raw- feel for you Joshua! Good luck with your future! You have my support ;0.0;0.587;0.413;0.9244
LOVE THIS SONG;0.0;0.323;0.677;0.6369
"Lyrics:

My label said to never waste a crisis
And here I am, guitar in my hand, in the middle of one, hmm";0.0;0.694;0.306;0.8328
The part where it starts with don’t you dare think I didn’t love you and the half true part is my favorite;0.0;0.655;0.345;0.875
He deserves so much better. Olivia needed to do something and she never did. I’d never send hate to her but with him all the way on this one.;0.0;0.868;0.132;0.4746
"The fact that he was the most hated person in the internet for a sec and now is donating the profits to mental health organizations SPEAKS VOLUMES
Be the bigger person josh  people are proud of you";0.101;0.764;0.135;0.1298
I don’t know who to believe anymore. But this song is so good.;0.0;0.701;0.299;0.7279
These songs are well written, im happy you share them with us. enjoying the songs so much!;0.0;0.526;0.474;0.8932
I love this song!!;0.0;0.385;0.615;0.6988
amazing song ! joshua u r stronger than u think. i hope u r okay and u go through this. u deserve ur piece of happiness too ! lots of love <3;0.0;0.526;0.474;0.9701
on repeat, I love this so much :);0.0;0.445;0.555;0.8166
I don't know which story to belive now?? They both seem pretty valid and their music is amazing.;0.0;0.685;0.315;0.8105
His got a beautiful foseto and his voice control is perfect!;0.0;0.533;0.467;0.8356
omg this song is so relatable. i love him so much. his songs are always relatable. he has my support always and forever;0.0;0.746;0.254;0.8
U are talented dude... just continue what ur doing. U will find ur rightful place in due time. Just keep on believing u will make it. ;0.0;0.883;0.117;0.5106
“Was it an act to love me or an act to hate me” seriously never gonna get over the lyricism in this masterpiece;0.161;0.568;0.271;0.6883
I honestly think that when their issue was on its peak, olivia shouldve calmed down the fans and told them not to involve joshua and the other girl. When it was reported that both were receiving death threats and joshua was even hospitalized, that shouldve been olivia's cue. I know it's not her job but with great power comes great responsibility ️;0.058;0.742;0.2;0.9144
The fact that Olivia is more famous than Joshua is a crime ! Don’t get me wrong Olivia is very talented!! But Joshua deserve the same treatment! He is so talented too !! But he is very underrated as a singer who deserves be a worldwide star !!!! ️;0.073;0.768;0.159;0.7921
We love you Josh ️;0.0;0.488;0.512;0.6369
I'm glad he's telling his side the story through his music as well. This song was pretty great;0.0;0.53;0.47;0.9081
Absolutely. Both sides can tell their story and they can put it into music for us, and that’s their choice. Our job as fans and listeners is to enjoy the music and let them express their feelings and thoughts of the situation. It isn’t our job to get involved in their personal lives. At the end of the day they are both human beings and deserve to be able to tell their side without others criticizing them and telling them how they should feel. There is no right or wrong for us to decide. Love both of their music, and wish both of them nothing but the best with their careers! ;0.051;0.864;0.085;0.2551
I support both of them not because of the drama but because they both have amazing voices and write amazing songs and are truly good people;0.0;0.513;0.487;0.968
It saddens me to know people actually sent Joshua death threats after everything he went through with his health I've always loved Joshua's voice, music and his songwriting skills, but most of all his humility and generosity by giving all of his proceeds to charity, a genuine human being and true inspiration to all;0.086;0.614;0.3;0.9565
I love this song ️;0.0;0.488;0.512;0.6369
Shit this is so deep, literal chills what a beautiful song;0.218;0.545;0.236;0.0772
This song is still one I the best songs ever;0.0;0.682;0.318;0.6369
I just want to reach through and hug him ;0.0;0.522;0.478;0.5423
It breaks my heart seeing him going through this;0.0;0.656;0.344;0.6369
I just want to give him a big hug now ... ;0.0;0.672;0.328;0.5267
I hope this songs blows up just like driver's license did. His side of the story deserves to be heard as well.;0.0;0.717;0.283;0.7579
literally these songs make him love and respect him so much more;0.0;0.578;0.422;0.8074
You deserve all the love of the world️️;0.0;0.625;0.375;0.6369
This song is so incredible, I feel like marrying this song if it is legal;0.0;0.753;0.247;0.5046
I love this because it putsshit into perspective. Theyare just kids that had a hard breakup and neither of them are in the wrong.;0.152;0.707;0.141;0.1779
I hope everyone jam over Olivia's and Joshua's songs equally as i do ... ( And everything will be normal between them );0.0;0.884;0.116;0.4404
this song is just amazing;0.0;0.513;0.487;0.5859
This song is my favourite of all. Hope you find ur happiness ️;0.0;0.629;0.371;0.7579
I honestly don't care who's right or wrong Olivia and Joshua are only human beings they have different opinions and emotions on whatever happened between them hence we are getting their beautifully written songs. To be honest I love their voice and how passionate they are about their music. Good Job Josh. Proud of you for staying strong. Love you always.;0.066;0.576;0.358;0.9785
“But don't you dare act like I didn't love you...Don't go thinkin' that I didn't hurt too...Don't you ever wonder if I'm okay after all you put me through?” It hits hard when it’s happened to you with your boyfriend and your best friend;0.085;0.657;0.259;0.8692
"I love him so much, I loved him for too years into see him sad makes me so sad so 

I give him all my support with all of my heart.";0.15;0.528;0.322;0.8471
this drama has seriously improved my playlist tbh;0.157;0.556;0.287;0.34
I love the scenery it’s so pretty ;0.0;0.375;0.625;0.8525
I love this man and his music;0.0;0.588;0.412;0.6369
The cinematography is beautiful, Josh’s song is beautiful, everything in this is beautiful and message is immaculate;0.0;0.545;0.455;0.9136
He’s perfect;0.0;0.213;0.787;0.5719
This Is So Beautiful ;0.0;0.375;0.625;0.7177
This is so good;0.0;0.445;0.555;0.5777
That was .... That was beautiful;0.0;0.562;0.438;0.5994
gosh 3/3 is so heartbreaking and emotional keep staying strong, love u josh ;0.174;0.405;0.421;0.6702
"Before this song releases, I just want to say a few things after reading the lyrics of the song.
1) All three of them, Joshua, Olivia and Sabrina have labels. All of them. We don't have any idea what's going on behind the scenes but we know artists in general live very controlled lives.
2) Just because joshua says something contradictory to Olivia doesn't mean it has to be false. It could be true. It could be false. It could be somewhere in between. I'm stressing on this. We don't know the story. At all. So, don't demonise any one of the artists because you fancy yourself on a team. Joshua shouldn't be hated for Olivia's lyrics nor olivia for Joshua's. They're both entitled to share their sides of the stories and we don't have to start pointing fingers and accusing one of them of lying.";0.079;0.831;0.09;0.2148
This guy has my support!!! Olivia was just tryna write like Taylor Swift ;0.0;0.559;0.441;0.783
Difference is that Olivia’s come from a place of anger, resentment, and revenge and his come from a place of depression, confusion, and acceptance of both his and her mistakes in their relationship. I so love her songs but the truth rings very true in his songs and emotion rings true in hers of course mixed with her catchy lines that every bitter ex feels. Seems pretty probable that she got mad and dumped him hoping he’d come back but instead he met someone else and she flipped out. And here the world is praising the toxic one who let the world attack the boy she repeatedly said she loved and his new girlfriend that he didn’t cheat on her with… shocker it’s 2021 and we have now started celebrating the toxic ones as long as they speak first and can sing good and have Taylor swift song writing vibes… doesn’t matter who tf were destroying in the process ;0.175;0.612;0.213;0.9047
I think I am on your side know. Love this song listen to it every day.;0.0;0.781;0.219;0.6369
maravilhoso;0.0;0.0;1.0;0.5719
This song is beautiful and I hope he is happy, healthy, and that he knows we support him ️;0.0;0.468;0.532;0.9423
Damn sounds like my life since 2020 false accusations. Great song ;0.269;0.376;0.355;0.3818
its so perfect;0.0;0.334;0.666;0.6115
I wish they would just be friends again! Their chemistry in and of tv was nice but now they are writing songs to explain two different stories;0.0;0.798;0.202;0.6239
This is sooo good.;0.0;0.508;0.492;0.4404
okay, but can we please get this song to blow up!!!!!!!!!!!! I want him to receive the recognition he deserves ;0.0;0.708;0.292;0.72
I truly believe that Olivia doesn't really care about anyone but herself. I just hope she learns from all of this.  As someone with a voice, she didn't use it. She let things escalate as though she wanted it to happen. She didn't do anything to stop it.  I think it was honestly vindictive and malicious.  As much as I liked her album, and she had every right to release it, she turned a blind eye to the consequences of her actions and people got hurt because of it.;0.12;0.754;0.126;0.16
I love this song;0.0;0.417;0.583;0.6369
Drama aside, your voice is really angelic josh and we want to see you SHINE.;0.0;0.915;0.085;0.0772
Great song and video;0.0;0.423;0.577;0.6249
"So much for hiding meanings of songs. Just say it up front. Expose them without attacking them. Incredible way to express feelings. You can hear the hurt in his voice. God, and to think you know who was a good person. Too much money and ""fame"" to know what to do with.";0.119;0.716;0.165;0.4435
"joshy you're so talented ;(";0.0;0.485;0.515;0.6418
I'm so looking forward to more of Joshua's music, he's so damn talented. His voice is so underrated, and I really can't wait to see him achieve so many things. Remember art is a sort of expression for a lot of people, so people use music to deal with things. And one more thing, we have no idea what went down, we have no idea of anyone's side, so let's just enjoy those masterpieces and do just that.;0.087;0.796;0.117;0.5648
Love thisss!! <33;0.0;0.295;0.705;0.6988
Can we keep this song as a secret escape;0.0;0.825;0.175;0.1779
beautiful song and voiceeeee;0.0;0.435;0.565;0.5994
So beautiful of a song;0.0;0.488;0.512;0.6361
This is Art,  This is beatiful <3;0.0;0.674;0.326;0.4404
Joshua bassett fans love you;0.0;0.488;0.512;0.6369
I love this song it so sad at the same time that he has to say this;0.172;0.647;0.181;0.0538
"My label said to never waste a crisis
And here I am, guitar in my hand, in the middle of one, hmm
And, honestly, I didn't wanna write this
Don't know if I can, still holdin' back, still wanna run";0.0;0.753;0.247;0.8963
God i love this song best reply;0.0;0.276;0.724;0.8885
I love u so much my next song on my channel is definitely gonna be this song You have my support 100%;0.0;0.664;0.336;0.8625
This is so good;0.0;0.445;0.555;0.5777
The video is best & obviously the song too but video is amazinggggggg;0.0;0.822;0.178;0.3818
If yall dont know Joshua broke Olivias heart so people were super mad at him while he was extremely sick an only had a few percentage chance that he could live while Olivia didnt do anything to help Joshua and stop the hate for him. In fact she also wrote the song Good 4 U  About Joshua and people even treatened him and said if they saw him on the streets, they would take his life for doing that to Olivia. No hate to Olivia or Joshua;0.115;0.691;0.194;0.8225
this one with secret are his best ones!!!!;0.0;0.566;0.434;0.7482
I love this song 2 months later ;0.0;0.588;0.412;0.6369
I hope this songs blows up just like driver's license did. His side of the story deserves to be heard as well.;0.0;0.717;0.283;0.7579
"I love to see him responding to Olivia.
The death threats parts hit super deep and some that is what most people are talking about, but I love the line in the corus (messing with my life is a career move). Look I was always on Rodrigo's side before this and who wouldn't be Drivers License and Good 4 u were moving but it's 100% true. If Rodrigo didn't use those 2 songs and her relationship with Joshua to catapult her singing career, she wouldn't have half the subs and popularity she has accomulated today.";0.038;0.764;0.198;0.9648
Omg I love your song so much it is so you are a great Singer;0.0;0.61;0.39;0.8519
Secret is the first song I heard of his. This is beautiful tho. So sad! It's actually good to hear his side. It's so opposite of Olivia. He seems to be very sweet.;0.079;0.678;0.243;0.7901
he didn't deserve everything that happened to him ... we always have to listen to both sides. Olivia's songs are good, but definitely not for Josh... he waited long enough and finally said his side.  I always knew that things were not as everyone thought. Josh, these songs are amazing! I hope you are good, healthy and happy!️;0.0;0.698;0.302;0.9736
ENOUGH WITH THE LOVE TRIANGLE DRAMA them 3 have amazing voices and great songs.;0.0;0.462;0.538;0.9304
This is honestly better then drivers license;0.0;0.459;0.541;0.7096
I'm sorry Olivia put him through that I hope he knows not every girl is that selfish or mean. I also hope he knows God loves him;0.119;0.568;0.314;0.802
"this guy deserves heaven coz he’s been through hell he’s obviously hurt but olivia i wish i could give him
a hug rn ";0.152;0.548;0.3;0.705
"With all due respect I will tell you this IF IT IS TRUE, leave all that shit and let it go, a person who did that to you does not deserve to see you suffer but I loved the way you expressed.

It is just the beginning of a musical greatness.Luck.";0.094;0.746;0.16;0.7199
I love this man.;0.0;0.417;0.583;0.6369
"""Was it an act to love me, or an act to hate me?"" ouch";0.186;0.603;0.211;0.128
God in heaven! Guys, this song..... can touch your hearth and make you feel all of the feelings of pain;0.127;0.654;0.219;0.3382
I love olivia but josh gets to speak his part too!;0.0;0.776;0.224;0.4389
"This song reminds me of ""Somebody"" by Now United and I love it";0.0;0.611;0.389;0.7906
So beautiful song and makes me think Olivia's songs and their veracity;0.0;0.724;0.276;0.6361
Guys yk there's such thing as enjoying a good song without controversy right?;0.0;0.636;0.364;0.743
"i like how the first two times he says ""don't you dare act like i didn't love you"" he looks straight at the camera and the last time he turns away";0.09;0.724;0.185;0.3678
wow i love this song and im kinda sad rn for other problem + this deserve a 1 mill like;0.178;0.484;0.339;0.7178
Joshua Bassett is a huge inspiration to me and I WILL produce a song for him one day.;0.0;0.737;0.263;0.6908
this is so good;0.0;0.445;0.555;0.5777
2M views Congratulations  ;0.0;0.339;0.661;0.5994
3:06 That subtle sigh to say he's tired, that moment when he finished telling everything that was on his mind, while still being kind. I admire that.;0.087;0.687;0.227;0.5719
yes, yes her songs are good but also she just blames him. she just made everyone think it was only his fault, while he was so much more mature, he wrote about HIS FEELINGS, and DIDNT BLAME HER. he just wrote about his side of the story, not just “u hurt me, it’s ur fault, ur happy, i’m feeling miserable!” Josh, WE LOVE U! KEEP IT GOING! these songs are gonna come trough and the truth always wins!;0.093;0.558;0.349;0.9841
There's 3 sides to every story person 1's, person 2's and THE TRUTH;0.0;0.798;0.202;0.4648
i hope you are doing ok josh :) we love you;0.0;0.363;0.637;0.9062
"As someone who knows this guy since his stuck in the middle days, and has been a fan since HSMTMTS. I AM SO PROUD! I can bet u this song will blow up, it’s his side to the “story”! 
Also “messing with my life as a career move” IS DEEP SHIT ";0.102;0.758;0.14;0.5227
I'M SO EXCITED FOR JB1;0.0;0.598;0.402;0.4005
This song is so beautiful and vulnerable and honestly my favorite of the 3. And I think I love it more than almost all of the songs on SOUR. It’s just so raw and beautiful. Sorry for what you went through, Josh, and thank you for your artistry!;0.053;0.61;0.338;0.9669
Just want to say that the sky looks so beautiful!;0.0;0.549;0.451;0.7638
Love him;0.0;0.192;0.808;0.6369
I love olivia rodrigos songs, i cant tell shes a lot to handle in a relationship and yea both ppl hurt i  a relationship, i feel for this guy cause he reminds me of a relationship i was in;0.076;0.83;0.094;0.2023
oh ,i feel in love already;0.0;0.543;0.457;0.6369
Alright this song is giving me Ed Sheeran vibes and I love it!!.... he's never sounded better ...like aside all the drama this song is fire;0.192;0.554;0.254;0.5053
Ok Ik everyone is leaving deep comments but his outfit tho- HE LOOKS- ;0.0;0.882;0.118;0.1531
You are a good and kind person :);0.0;0.35;0.65;0.8519
the first minuent into this, and its amazing!!!;0.0;0.6;0.4;0.6884
even when i was still watching hsmtmts s1 and s2, i could tell that josh is such a sweet friend to everyone. i watch different clips of him and the casts. he's been such a supportive friend. all i can say is, i'm so happy and proud of him not only bc he was able to release these songs but also for being strong and overcoming the challenges he went through. imagine getting hospitalized, people blaming him for everything, people sending him death threats. JOSH, U ARE LOVED. i never doubted you. God bless you! <3;0.119;0.611;0.27;0.9493
I definitely feel for him and it's definitely unfair how she milked it all;0.159;0.564;0.277;0.3182
Discourse is important there’s always 2 sides to a story.;0.0;0.833;0.167;0.2023
wow you sing really good and this song is really nice.;0.0;0.442;0.558;0.8775
Love it;0.0;0.192;0.808;0.6369
Honestly, if two artists write about each other, I don't really care what happened or if they are bad person or not. It's the music that matters to me, his lyrics and his songs are amazing.;0.14;0.685;0.175;0.1419
I really like this song so much;0.0;0.682;0.318;0.4201
"Dear person who may be reading this

.

.";0.0;0.755;0.245;0.3818
he should tour with Taylor Swift both have similar music fans would love that and he would attract wider audience;0.0;0.667;0.333;0.8176
You better blow up the damn charts after these songs. You deserve it and Ik it’ll happen!;0.129;0.718;0.153;0.126
"“I know you’ll never feel sorry for the way I hurt”
-basset: clearly not sorry, your pain is a carreer move";0.0;0.684;0.316;0.7046
I love this song;0.0;0.417;0.583;0.6369
I can pick between you or Olivia you both have the great sides so I will just listen to bothe of you and even Sabrina song skin is also a great song;0.0;0.785;0.215;0.8481
Excuse me, i need some help here how can I like this more than once?;0.0;0.649;0.351;0.6705
Unpopular opinion I supported him through all the drama with him and Olivia.;0.0;0.839;0.161;0.3182
I love you Olivia but I’m with Joshua on this one.;0.0;0.794;0.206;0.3818
The love case for musicians is indeed epic, just sneering at each other can produce works, right?;0.0;0.792;0.208;0.6369
I honestly don’t think it’s something to ‘win’. Just a relationship that didn’t work out️ Both artists have great songs in the end;0.0;0.747;0.253;0.7964
"""Half the Shit you're saying is only half true, messing with my life as a Career Move."" 
YES BESTIE SAY IT OUT LOUD ";0.121;0.67;0.209;0.3885
Oh man, his only real friend is his guitar at the end of the day.;0.0;0.814;0.186;0.4939
Joshua is like:After what all u put me through half the shit ur saying is only half true:Joshua I'm so sorry about the death threats u got from many people don't let them get to u .You are the most and best sing I seen yes Olivia Rodrigo to but I give 20 million likes and her 10million likes ur just so amazing and don't let the mean people get to u u are so amazing I'm here's for u I love u so much and high school musical Ricky and nini is is cute at season part 1 the end of it gal kissed like she went back for more kisses if I was Olivia Rodrigo I would never leave u and always be there for u never write songs that are not that true about u .You are so amazing ;0.046;0.657;0.297;0.9946
absolutely loved those lyrics.  This is the best form of art, showing the artist's raw emotion. Keep doing what ur doing, Josh! loved ur songs from common sense to now;0.0;0.682;0.318;0.9272
I feel like what olivia rodrigo did was wrong but i still love her music. I feel so bad for joshua though! STAY STRONG JOSH!;0.197;0.477;0.326;0.7504
Glad to hear his song;0.0;0.571;0.429;0.4588
"""my label said to never waste a crisis"" also seemed like a scene where the boss is like saying to him ""I advise you to write/sing about 'it' too"". Well I guess they're right lol. I might not like the artist well and how the song seems like at first (I mean I really don't know him until I heard the lyrics I knew then who that person 'could' be) but def. liked the song. Hope this will end the drama (and sensationalizing of strangers), but to be honest, I feel like this song is for only one person and a one time like when a groom sings and everyone all see clearly that it's for his bride in that one time...yeah...Also, got me thinking if I should not waste a crisis as well... don't know that yet tho. I felt more heartbroken after this, like the feeling of 'woof, but I'm glad I passed that stage of my life' it's kinda the same feeling as hers...guess that's why they're both not in good terms...yet... but definitely, I don't like how it's cool to be the bad guy (as if you liked it) but I can understand how he feels (as I remember that part of being in a patriarchal society, at the very least). But beside that, this song is unique...I must say.";0.066;0.696;0.238;0.9914
All 3 of these songs are crazy good. So much emotion and the quality is beaming through. They are more than just songs.;0.091;0.798;0.11;0.128
The other pov m, and it was from the boy. But aparts from that, this song is GOOD! His voice is just calming and i feel like i did hurt too;0.105;0.619;0.276;0.8147
Omg this is totally about olivia I hope. but yk he’s amazing too to I love his music he has great range and lyrical Genius;0.0;0.53;0.47;0.9666
This guy is amazing I can’t believe somebody would fuck him up just for fame and act like a bitch;0.232;0.476;0.292;0.2263
"I like how he is telling his side of the story and i don't understand why people are sending so much much hate to him when Olivia's songs don't even mention someone specific.

Edit-if anyone is wondering why am I replying to myself...I'm not...there was a person replying but they deleted their replys lol";0.042;0.865;0.092;0.453
Can we talk more about how beautiful this music video is?! It's entirely in one shot and had to be filmed exactly when the sky looked like this. Major respect to the production team and Joshua;0.0;0.761;0.239;0.8847
I love Olivia so much but I do think she should’ve cleared things up and I do hope she still does I love Joshua basset a lot to and I think it was mature for him to do this I really hope they clear things up between each other<3;0.0;0.621;0.379;0.9791
Plus I am a giant fan of Olivia I still watch her Disney shows with my sisters;0.0;0.874;0.126;0.3182
"This song is my love rebecca’s fvrt ️
She used to listen everyday 
Now i also addicted
Miss u becky";0.067;0.756;0.176;0.5574
I am here for the tea, but ended up breaking my heart... wth;0.215;0.514;0.271;0.296
the fact that there isnt a single dislike;0.0;0.762;0.238;0.2924
i love this for him, he never deserved any of the hate and i hope he can grow from all of this and separate himself from the narrative that has consumed him this entire year. it sucks to know someone can spin a story and make you look like someone ur not, i think he is a good person who deserves to be happy!!!;0.077;0.71;0.213;0.8974
Well I guess the filming of the next HSMTMTS season would be interesting.;0.0;0.696;0.304;0.5859
"This song is about Joshua and Olivia's break up. Olivia is making all these lies about Joshua betraying her but he is just moving on and Olivia should do that to. Joshua had heart problems after Olivia published ""Drivers Licence"" and there was a 30% chance for him to live. Joshua started going to therapy. So everyone who is hating on joshua for BrEaKiNg OiViA's HeArT juat stop Joshua isn't the only bad guy here. Btw, I love the music video <3";0.132;0.626;0.243;0.9483
i just can’t with you, i love you so much pls ur the best;0.0;0.524;0.476;0.8744
i love Olivia just as much as Joshua. Both of their music is amazing. So, i'm just here for the entertainment with my popcorn;0.0;0.66;0.34;0.8957
Thank you for showing the truth;0.0;0.455;0.545;0.5859
For real the chucks go off with that outfit.  the white chucks hit different and the best ones out of all them ever made.;0.0;0.846;0.154;0.6369
"She really did milk it. 

Hope he gets better. Just saw he was donating all his earnings to mental health in the description. ";0.0;0.784;0.216;0.7003
I mean he sounds like Shawn and he has Sabrina like Shawn HAD Camila. But sorry Josh, I’m on Olivia’s side, but Relationship dramas always has 2 sides so I’m proud of you for sticking up for yourself.;0.033;0.781;0.185;0.7662
I'm recommending this to chan's room  today :( i really love it;0.167;0.575;0.258;0.3804
Joshua, you make our lives way brighter and better with your songs. This pandemic hasn’t been easy but having a familiar voice that sounds like a hug is everything. Thanks for being home to a lot of people. Love you and LET’S STREAM ALL THE SONGS ;0.0;0.632;0.368;0.9711
Omgsh I love his music! This is my future husband yall;0.0;0.69;0.31;0.6696
BRO I LOVE HIS MUSIC VIDEOS;0.0;0.543;0.457;0.6369
This is my favorite one;0.0;0.571;0.429;0.4588
"Blessed solar return, my sincerest wish is that your life will continue to be filled with many more years of elation.

May this day be an occasion for you to realize all of your desires for elation and manifest marvelous things.

I wish you tremendous success in all endeavors you undertake soon, and may God continue to bless you abundantly.

Have a blessed day.";0.0;0.607;0.393;0.9864
I love that;0.0;0.323;0.677;0.6369
The cinematography and creative direction in all these three music videos is so good, so good ;0.0;0.548;0.452;0.8936
This would have been a really good song if they just give this music video budget.;0.0;0.824;0.176;0.4927
My sisters Roblox bf broke up with her and this song is helping her recover thank u joshua;0.124;0.667;0.209;0.2263
I wish we could see Olivia watching this for the first time;0.0;0.803;0.197;0.4019
I think i'm in love with him;0.0;0.588;0.412;0.6369
“My mama called cause I was getting death threats” Idc who you are but that’s messed up. He deserves to tell his side and I’m so proud of him Love ya Josh;0.124;0.624;0.252;0.8288
they both said their piece in the situation. I support both of their careers equally, and I think it's time for society to move on from this relationship. they both said their opinions and they've written songs, I think we should let this go now.;0.0;0.942;0.058;0.4019
Its funny how my ex never trusted olivia, ig that was one thing she got right;0.131;0.72;0.149;0.089
I've played this song too many times and I swear  it makes me go through the pain and emotions he went through. LOVE THIS SO MUCH JOSH! Hang in there it'll be alright;0.107;0.665;0.228;0.729
"I don't hate either of them. They are both a bit younger than me and I think they would've been sweet together ;/";0.0;0.778;0.222;0.7182
"“As a career move”
I feel like that was for liv but it’s good too hear what she feels and went though I’m a liv fan but like be for you talk or whatever but this isn’t hate it’s just what I think but loved the song️";0.08;0.649;0.271;0.9022
damn... bro made it crystal clear that it's about olivia, but i hope they get back together;0.086;0.651;0.263;0.5859
As much as the situation of this all likely sucked for him, I will say the album he's just released is significantly better than his past work. I always tried to enjoy the other stuff but this is music that I would choose to listen to on repeat, and his voice and quality has grown immensely. I'm really excited to see what he comes out with next because this authenticity (though I'm sure painful) is honestly the best music he's released imo;0.058;0.739;0.203;0.9381
"I wonder if there was a reason this particular background was picked for the music video; maybe this was one of the first dates or held some kind of a special meaning for Olivia and Josh?";0.0;0.928;0.072;0.4019
I’m really happy for Josh that he gets to tell his side! He endured a lot of hate and suffering for something that didn’t deserve it. Love the message of this video ;0.157;0.647;0.196;0.3989
okay that sunset is pretty did he film this in australia!!!!;0.0;0.589;0.411;0.7405
Peach prc wrote a song called Josh. So I searched my own name for something more positive. And this was such a find. ;0.0;0.85;0.15;0.5984
We need to make this viral! HE IS SOOOO GOOD OH MY GOODNESS ;0.0;0.59;0.41;0.8252
"She did use his name to help her career it's sad. She good that's for sure but it should never have been like this. They were both supposed to lay low.
Respect to the man for not pushing back as hard as she did.️";0.164;0.66;0.176;0.1618
Win for Johnny and a win for Joshua.;0.0;0.441;0.559;0.8225
i’ll break your heart and make an album for you🫢🫢🫢;0.0;0.682;0.318;0.6369
Josh, Are you okay ? Ik this is just a song, but no matter how bad it can be, it'll end. I promise it'll get better and just know that we'll support you no matter how bad the things get!!;0.209;0.57;0.221;0.1685
yk I have my respect for joshua, he did nothing wrong;0.0;0.614;0.386;0.6862
"Tbh idk if this is even about Olivia.
But I love them both and you tell that he loved the person is about.";0.037;0.618;0.345;0.9178
this is so deep. I feel like he's singing of Olivia Rodrigo, correct me if Im wrong but she seemed like the shady kind of person to me and I never liked her as a person. You know you get some of those people who you can instantly know they are good people. I am sorry to say she isn't one of them. And messing with Joshua's career just because its good for her career isn't okay. She's just being bitchy right now and acting like a seven yr old. I mean grow up Olivia! ;0.113;0.744;0.142;0.648
Josh loves Meg;0.0;0.351;0.649;0.5719
I love him I genuinely don’t know anything to do with the drama but it bothers me a little how little he’s lip syncing lolll;0.079;0.827;0.094;0.1027
his lower register is too underrated man! also, shout out to Josh for donating 100% of his earnings from this song to people that are in need. truly a kind soul .;0.058;0.767;0.174;0.6588
I never comment on videos, but wow AMAZING. So real, genuine, goosebumps. Joshua I’ve never listened to your music before, but you’ve just gained a new fan.;0.0;0.563;0.437;0.9631
i hope he knows how much so many of us support him. he deserves so much;0.0;0.714;0.286;0.6808
When the world is wondering who broke Oliva's heart, it's the right thing to do to speak out, Joshua - it's an honour to hear your side, you have a beautiful voice and the lyrics are sensational.;0.059;0.693;0.248;0.875
wow these three songs are really emotional and heart warming:);0.0;0.338;0.662;0.8947
You can actually hear the change in his voice... He sounds so much more mature and his voice is so deep... I love it-;0.0;0.738;0.262;0.8325
"Many people know Joshua from the drama, I'm not gonna deny that I also did, but it's his music that makes me stay.
The drama is over so I really hope some people would really try to appreciate the music rather than compare everything he does with Olivia. Love and support both of them ";0.0;0.715;0.285;0.9661
I’m absolutely in love with this song and the WHOLE INTERNET NEEDS TO GIVE THIS SWEETHEART AN APOLOGY RN;0.0;0.562;0.438;0.9253
i feel like olivia could have asked her fans to not go hate on him, it would be nice from her part, but it seems like she doesn't care :/;0.088;0.617;0.294;0.7194
Josh, just ignore all the haters. They don't know what they are doing, and none of them even know the full story. There are so many people that love you, and I will love and support you forever️️️;0.114;0.663;0.223;0.7506
He deserves happiness;0.0;0.357;0.643;0.5574
Josh, I have been here as your fan for almost two years now and it makes me so happy to see that in is year you’ve had your first (virtual) concert and i was there and you released your EP which i was obsessed with along with other songs and now you’ve released these songs. Its so surreal to me and im so happy to start seeing you getting more recognition and i cant wait for what happens next ️;0.019;0.849;0.132;0.9018
